Simulacion Movimiento de partículas Gravitatorias. v 4.11 AVX 256
Partículas                   21960
Inicio al azar
Numero de hilos                 30
Paso de tiempo       1,0000000e+02 años
Muestra esférica
Radio de la esfera   2,5000000e+06   al
Velocidades Hubble   1,0000000e+02 factor
Distancia colision   5,0000000e+01   al
Radio de corte       2,1000000e+08   al
Radio vecinas        2,3000000e+08   al
Frecuencia vecinas           1.000 Hilo
Monitorizar cada             1.000 pasos
Tiempo a simular      100,00000000 millones de años (1.000.000 pasos)

                ener.cinetica ener.potencial  ENERGIA TOTAL ener.pot.resid           x al           y al           z al        vx al/s        vy al/s        vz al/s         v al/s
-------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------
Partícula uno   8,2310502e-08 -1,7328710e-06 -1,6505605e-06  0,0000000e+00 -2,6832405e+05 -3,4469075e+05  1,7281730e+06 -6,0899631e-11 -7,8232046e-11  3,9223133e-10  4,0456697e-10
-------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------

 millones años  ener.cinética ener.potencial  ENERGÍA TOTAL In.corte ener.pot.resid In.veci.   recorrido al desplazami. al      X c.m. al      Y c.m. al      Z c.m. al dist. media al desv.estand al  tpo cálculo s
-------------- -------------- -------------- -------------- -------- -------------- -------- -------------- -------------- -------------- -------------- -------------- -------------- -------------- --------------
    3,00000000  1,7782698e-03 -1,7949051e-02 -1,6170781e-02 21959,00  0,0000000e+00 21959,00  3,6458201e+04  3,6457934e+04 -7,0105619e+03 -3,1593266e+02  1,1611910e+03  1,9175661e+06  4,9247116e+05  6,6890000e+03
    3,10000000  1,7670852e-03 -1,7937622e-02 -1,6170536e-02 21959,00  0,0000000e+00 21959,00  3,7610875e+04  3,7610580e+04 -7,0156760e+03 -3,1577387e+02  1,1619013e+03  1,9187892e+06  4,9278491e+05  6,9110000e+03
    3,20000000  1,7572470e-03 -1,7927633e-02 -1,6170386e-02 21959,00  0,0000000e+00 21959,00  3,8759569e+04  3,8759243e+04 -7,0207858e+03 -3,1565739e+02  1,1626205e+03  1,9200084e+06  4,9309767e+05  7,1340000e+03
    3,30000000  1,7445257e-03 -1,7915354e-02 -1,6170828e-02 21959,00  0,0000000e+00 21959,00  3,9904287e+04  3,9903929e+04 -7,0259013e+03 -3,1562825e+02  1,1634382e+03  1,9212235e+06  4,9340947e+05  7,3560000e+03
    3,40000000  1,7331558e-03 -1,7904203e-02 -1,6171047e-02 21959,00  0,0000000e+00 21959,00  4,1045037e+04  4,1044643e+04 -7,0310153e+03 -3,1569606e+02  1,1642795e+03  1,9224346e+06  4,9372032e+05  7,5800000e+03
    3,50000000  1,7224687e-03 -1,7893180e-02 -1,6170711e-02 21959,00  0,0000000e+00 21959,00  4,2181822e+04  4,2181390e+04 -7,0362083e+03 -3,1581365e+02  1,1652686e+03  1,9236417e+06  4,9403011e+05  7,8020000e+03
    3,60000000  1,7114421e-03 -1,7881780e-02 -1,6170337e-02 21959,00  0,0000000e+00 21959,00  4,3314647e+04  4,3314176e+04 -7,0414415e+03 -3,1589943e+02  1,1662835e+03  1,9248451e+06  4,9433883e+05  8,0250000e+03
    3,70000000  1,7022534e-03 -1,7871801e-02 -1,6169548e-02 21959,00  0,0000000e+00 21959,00  4,4443518e+04  4,4443005e+04 -7,0467686e+03 -3,1603159e+02  1,1671702e+03  1,9260445e+06  4,9464648e+05  8,2470000e+03
    3,80000000  1,6896427e-03 -1,7859229e-02 -1,6169586e-02 21959,00  0,0000000e+00 21959,00  4,5568441e+04  4,5567882e+04 -7,0521629e+03 -3,1613945e+02  1,1678759e+03  1,9272402e+06  4,9495319e+05  8,4710000e+03
    3,90000000  1,6801734e-03 -1,7849902e-02 -1,6169728e-02 21959,00  0,0000000e+00 21959,00  4,6689419e+04  4,6688813e+04 -7,0575740e+03 -3,1625347e+02  1,1685915e+03  1,9284320e+06  4,9525888e+05  8,6930000e+03
    4,00000000  1,6684681e-03 -1,7838066e-02 -1,6169598e-02 21959,00  0,0000000e+00 21959,00  4,7806459e+04  4,7805802e+04 -7,0629965e+03 -3,1638876e+02  1,1692815e+03  1,9296197e+06  4,9556349e+05  8,9170000e+03
    4,10000000  1,6596227e-03 -1,7828643e-02 -1,6169020e-02 21959,00  0,0000000e+00 21959,00  4,8919565e+04  4,8918855e+04 -7,0685645e+03 -3,1654864e+02  1,1698568e+03  1,9308037e+06  4,9586696e+05  9,1390000e+03
    4,20000000  1,6472478e-03 -1,7816351e-02 -1,6169104e-02 21959,00  0,0000000e+00 21959,00  5,0028743e+04  5,0027976e+04 -7,0741031e+03 -3,1662876e+02  1,1704629e+03  1,9319836e+06  4,9616930e+05  9,3620000e+03
    4,30000000  1,6374004e-03 -1,7805941e-02 -1,6168541e-02 21959,00  0,0000000e+00 21959,00  5,1133997e+04  5,1133171e+04 -7,0795702e+03 -3,1662238e+02  1,1711954e+03  1,9331596e+06  4,9647061e+05  9,5840000e+03
    4,40000000  1,6263449e-03 -1,7795226e-02 -1,6168881e-02 21959,00  0,0000000e+00 21959,00  5,2235332e+04  5,2234443e+04 -7,0850737e+03 -3,1660262e+02  1,1720794e+03  1,9343318e+06  4,9677091e+05  9,8080000e+03
    4,50000000  1,6160389e-03 -1,7784585e-02 -1,6168546e-02 21959,00  0,0000000e+00 21959,00  5,3332753e+04  5,3331799e+04 -7,0906122e+03 -3,1666088e+02  1,1729594e+03  1,9355000e+06  4,9707016e+05  1,0030000e+04
    4,60000000  1,6056503e-03 -1,7773919e-02 -1,6168269e-02 21959,00  0,0000000e+00 21959,00  5,4426266e+04  5,4425243e+04 -7,0961366e+03 -3,1692896e+02  1,1738740e+03  1,9366643e+06  4,9736844e+05  1,0253000e+04
    4,70000000  1,5974601e-03 -1,7765507e-02 -1,6168047e-02 21959,00  0,0000000e+00 21959,00  5,5515875e+04  5,5514779e+04 -7,1015990e+03 -3,1736374e+02  1,1748503e+03  1,9378247e+06  4,9766575e+05  1,0475000e+04
    4,80000000  1,5846469e-03 -1,7752448e-02 -1,6167801e-02 21959,00  0,0000000e+00 21959,00  5,6601585e+04  5,6600413e+04 -7,1069663e+03 -3,1785927e+02  1,1757021e+03  1,9389812e+06  4,9796207e+05  1,0699000e+04
    4,90000000  1,5749853e-03 -1,7742415e-02 -1,6167430e-02 21959,00  0,0000000e+00 21959,00  5,7683402e+04  5,7682150e+04 -7,1123928e+03 -3,1840654e+02  1,1764811e+03  1,9401339e+06  4,9825747e+05  1,0921000e+04
    5,00000000  1,5648683e-03 -1,7731746e-02 -1,6166878e-02 21959,00  0,0000000e+00 21959,00  5,8761329e+04  5,8759993e+04 -7,1177854e+03 -3,1906635e+02  1,1771621e+03  1,9412830e+06  4,9855183e+05  1,1144000e+04
    5,10000000  1,5545590e-03 -1,7721384e-02 -1,6166825e-02 21959,00  0,0000000e+00 21959,00  5,9835372e+04  5,9833949e+04 -7,1231178e+03 -3,1978307e+02  1,1777094e+03  1,9424283e+06  4,9884513e+05  1,1366000e+04
